start station id,start station name,start station latitude,start station longitude,start duration mean,start duration sum,start duration count,start year,start type
295,Pike St & E Broadway,40.71406667,-73.99293911,697.3955193,1712106,2455,2019,subs
296,Division St & Bowery,40.71413089,-73.9970468,754.7217771,2072466,2746,2019,subs
297,E 15 St & 3 Ave,40.734232,-73.986923,629.9135259,3292558,5227,2019,subs
298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,734.4930909,1009928,1375,2019,subs
301,E 2 St & Avenue B,40.72217444,-73.98368779,816.1949922,3683488,4513,2019,subs
302,Avenue D & E 3 St,40.72082834,-73.97793172,790.4596491,1802248,2280,2019,subs
303,Mercer St & Spring St,40.72362738,-73.99949601,867.2014551,3456665,3986,2019,subs
304,Broadway & Battery Pl,40.70463334,-74.01361706,1081.107684,4136318,3826,2019,subs
305,E 58 St & 3 Ave,40.76095756,-73.96724467,817.366172,3194267,3908,2019,subs
307,Canal St & Rutgers St,40.71427487,-73.98990025,695.5189444,3689728,5305,2019,subs
308,St James Pl & Oliver St,40.71307916,-73.99851193,675.7178295,1307514,1935,2019,subs
309,Murray St & West St,40.7149787,-74.013012,878.5993186,2578689,2935,2019,subs
310,State St & Smith St,40.68926942,-73.98912867,757.110271,1201534,1587,2019,subs
311,Norfolk St & Broome St,40.7172274,-73.98802084,820.8467497,2967361,3615,2019,subs
312,Allen St & Stanton St,40.722055,-73.989111,752.7457295,4230431,5620,2019,subs
313,Washington Ave & Park Ave,40.69610226,-73.96751037,907.2490272,1165815,1285,2019,subs
314,Cadman Plaza West & Montague St,40.69383,-73.990539,709.6603476,1347645,1899,2019,subs
315,South St & Gouverneur Ln,40.70355377,-74.00670227,1071.563627,4395554,4102,2019,subs
316,Fulton St & William St,40.70955958,-74.00653609,831.9767638,1969289,2367,2019,subs
317,E 6 St & Avenue B,40.72453734,-73.98185424,706.3520235,3124195,4423,2019,subs
319,Fulton St & Broadway,40.711066,-74.009447,811.2598963,2971645,3663,2019,subs
320,Leonard St & Church St,40.717571,-74.005549,728.7979468,1561814,2143,2019,subs
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,1618.947336,2643741,1633,2019,subs
323,Lawrence St & Willoughby St,40.69236178,-73.98631746,1169.226455,2793282,2389,2019,subs
324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,629.7235906,1150505,1827,2019,subs
325,E 19 St & 3 Ave,40.73624527,-73.98473765,644.6296933,2249113,3489,2019,subs
326,E 11 St & 1 Ave,40.72953837,-73.98426726,681.9455426,3381086,4958,2019,subs
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,955.6585736,5668011,5931,2019,subs
328,Watts St & Greenwich St,40.72405549,-74.00965965,772.5974172,2751992,3562,2019,subs
330,Reade St & Broadway,40.71450451,-74.00562789,763.6440358,1619689,2121,2019,subs
331,Pike St & Monroe St,40.71173107,-73.99193043,787.9072737,1419021,1801,2019,subs
